1992 Presidential Election,,,,,
Party,Pres. Cand.,VP Cand.,,,
D,Bill Clinton,Al Gore,,,
R,George H. W. Bush,Dan Quayle,,,
I,Ross Perot,James Stockdale,,,
State,Electoral votes,Clinton,Bush,Perot,Total Votes
AL,9,690080,804283,183109,1688060
AK,3,78294,102000,73481,258506
AZ,8,543050,572086,353741,1487006
AR,6,505823,337324,99132,950653
CA,54,5121325,3630574,2296006,11131721
CO,8,629681,562850,366010,1569180
CT,8,682318,578313,348771,1616332
DE,3,126054,102313,59213,289620
DC,3,192619,20698,9681,227572
FL,25,2072698,2173310,1053067,5314392
GA,13,1008966,995252,309657,2321133
HI,4,179310,136822,53003,372842
ID,4,137013,202645,130395,482114
IL,22,2453350,1734096,840515,5050157
IN,12,848420,989375,455934,2305871
IA,7,586353,504891,253468,1354607
KS,6,390434,449951,312358,1157256
KY,8,665104,617178,203944,1492900
LA,9,815971,733386,211478,1790017
ME,4,263420,206504,206820,679499
MD,10,988571,707094,281414,1985046
MA,12,1318662,805049,632312,2773574
MI,18,1871182,1554940,824813,4274673
MN,10,1020997,747841,562506,2347948
MS,7,400258,487793,85626,981793
MO,11,1053873,811159,518741,2391270
MT,3,154507,144207,107225,410583
NE,5,217344,344346,174687,739283
NV,4,189148,175828,132580,506318
NH,4,209040,202484,121337,537215
NJ,15,1436206,1356865,521829,3343594
NM,5,261617,212824,91895,569986
NY,33,3444450,2346649,1090721,6926925
NC,14,1114042,1134661,357864,2611850
ND,3,99168,136244,71084,308133
OH,21,1984942,1894310,1036426,4939964
OK,8,473066,592929,319878,1390359
OR,7,621314,475757,354091,1462643
PA,23,2239164,1791841,902667,4959810
RI,4,213299,131601,105045,453477
SC,8,479514,577507,138872,1202527
SD,3,124888,136718,73295,336254
TN,11,933521,841300,199968,1982638
TX,32,2281815,2496071,1354781,6154018
UT,5,183429,322632,203400,743998
VT,3,133592,88122,65991,289701
VA,13,1038650,1150517,348639,2558665
WA,11,993037,731234,541780,2287565
WV,5,331001,241974,108829,683677
WI,11,1041066,930855,544479,2531114
WY,3,68160,79347,51263,199884
Totals,538,44909806,39104550,19743821,104423923
